1422191463518;37036032;31127296;17051648
1422191466023;39596032;31127296;11286816
1422191469858;39690240;31127296;17732576
1422191470859;56209408;57155840;19563272
1422191471870;81330176;65411328;33011520
1422191472870;87896064;70571008;46915016
1422191473871;101695488;82942208;55350736
1422191474875;115277824;93261568;58707776
1422191475875;123953152;102561024;66909040
1422191476882;136867840;112880384;78601064
1422191477885;150335488;125239552;94173592
1422191478887;158949376;132463104;96346120
1422191479888;172056576;142782464;118965176
1422191480889;179650560;148962048;116131984
1422191481889;193699840;164441088;135354064
1422191482893;210210816;179884032;153771344
1422191484121;211111936;179896064;131265256
1422191485214;211845120;180928000;145904104
1422191486214;219922432;190203392;114046072
1422191487214;220532736;190203392;123250360
1422191488218;221634560;190203392;142917992
1422191489220;213663744;181947904;120041224
